                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                0.67857,                 1.6393,                 1.2013,                0.89605,                0.59661,                0.59368,                 0.4612,                 1.1941,                 1.7208,                 1.2114,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.70254,                 2.2317,                 1.2817,                0.89605,                0.59661,                0.59368,                 0.4612,                 1.1941,                 1.7208,                 1.2114,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.56419,                 1.2008,                 1.0543,                0.89125,                0.59217,                0.59579,                0.46158,                 1.1995,                 1.7525,                 1.2155,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.61848,                0.94299,                 1.0763,                0.89125,                0.59217,                0.59579,                0.46158,                 1.1995,                 1.7525,                 1.2155,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.44142,                 1.4699,                 1.0364,                0.89504,                0.59257,                0.59343,                0.46097,                 1.2072,                 1.7976,                 1.2249,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.95579,                 2.2123,                 1.4325,                0.89504,                0.59257,                0.59343,                0.46097,                 1.2072,                 1.7976,                 1.2249,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.60893,                 1.2196,                 1.1254,                0.89706,                0.59373,                0.59765,                0.45866,                  1.237,                 1.8721,                 1.2349,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.64903,                 1.0954,                 1.0927,                0.89706,                0.59373,                0.59765,                0.45866,                  1.237,                 1.8721,                 1.2349,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.75578,                 1.4856,                 1.2315,                0.92212,                0.58035,                0.61532,                0.45894,                 1.2586,                 1.8956,                 1.2453,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.54719,                 1.3663,                 1.1357,                0.92212,                0.58035,                0.61532,                0.45894,                 1.2586,                 1.8956,                 1.2453,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.87228,                 2.2955,                 1.3334,                0.92212,                0.58035,                0.61532,                0.45894,                 1.2586,                 1.8956,                 1.2453,             3.0024e-05,             3.0024e-05,             3.0024e-05
